order_id,customer_id,restaurant_name,city,order_date,order_amount,payment_mode,delivery_time_minutes,order_status
100001,1860,Cafe Coffee Day,Delhi,11-02-2023,388,Card,59,Delivered
100002,2294,Burger King,Delhi,21-07-2023,1363,UPI,35,Delivered
100003,2130,Haldiram,Kolkata,01-09-2023,812,UPI,58,Delivered
100004,2095,Pizza Hut,Kolkata,30-10-2024,1259,UPI,43,Delivered
100005,2638,Biryani Blues,Bangalore,08-04-2024,1194,Card,15,Delivered
100006,3169,KFC,Chennai,24-03-2024,843,Cash,45,Delivered
100007,1466,Box8,Bangalore,12-03-2024,1492,Card,41,Delivered
100008,2238,Barbeque Nation,Hyderabad,14-06-2024,1331,UPI,58,Delivered
100009,1330,Faasos,Kolkata,18-07-2024,1120,UPI,50,Delivered
100010,2482,KFC,Kolkata,19-08-2024,1113,Card,41,Delivered
100011,3135,Starbucks,Bangalore,30-09-2023,225,Cash,29,Delivered
100012,3919,Box8,Bangalore,05-03-2024,478,UPI,39,Delivered
100013,1130,Cafe Coffee Day,Bangalore,01-08-2023,1376,UPI,62,Delivered
100014,2685,Subway,Delhi,14-04-2023,1402,UPI,29,Delivered
100015,1769,Cafe Coffee Day,Mumbai,11-07-2023,301,UPI,54,Delivered
100016,3391,Burger King,Mumbai,19-11-2024,221,Card,33,Delivered
100017,2515,Starbucks,Kolkata,20-10-2024,374,Cash,61,Delivered
100018,3853,Wow Momo,Delhi,15-01-2024,622,UPI,64,Cancelled
100019,3433,Haldiram,Bangalore,22-03-2023,509,UPI,25,Delivered
100020,2215,Subway,Kolkata,05-12-2024,689,UPI,55,Delivered
100021,1955,Behrouz Biryani,Delhi,02-07-2024,960,Cash,47,Delivered
100022,3324,Faasos,Hyderabad,12-01-2024,758,UPI,55,Delivered
100023,2184,Faasos,Chennai,03-06-2023,1219,UPI,37,Delivered
100024,1459,Subway,Delhi,03-10-2024,150,UPI,26,Delivered
100025,1021,KFC,Pune,24-07-2024,827,UPI,16,Delivered
100026,3300,Haldiram,Kolkata,28-08-2023,1418,Card,57,Cancelled
100027,1747,Faasos,Mumbai,09-01-2024,1392,UPI,35,Delivered
100028,3904,KFC,Pune,23-07-2023,440,UPI,28,Delivered
100029,1474,Behrouz Biryani,Bangalore,02-09-2024,353,Card,48,Delivered
100030,2082,Cafe Coffee Day,Chennai,16-12-2023,1375,UPI,29,Delivered
100031,3558,Pizza Hut,Hyderabad,18-11-2024,715,UPI,35,Delivered
100032,3047,Haldiram,Chennai,23-05-2023,631,Cash,37,Delivered
100033,3747,Pizza Hut,Chennai,08-07-2023,660,Card,35,Delivered
100034,1975,Burger King,Delhi,29-09-2023,1073,Card,64,Cancelled
100035,2806,Starbucks,Kolkata,15-06-2024,427,Card,28,Delivered
100036,1189,Burger King,Kolkata,27-10-2023,1154,Cash,35,Delivered
100037,3734,Pizza Hut,Chennai,01-03-2024,165,UPI,26,Delivered
100038,1562,Faasos,Bangalore,15-02-2023,505,UPI,56,Delivered
100039,2899,Box8,Kolkata,05-04-2023,505,UPI,60,Delivered
100040,2267,Starbucks,Chennai,05-03-2023,979,UPI,68,Delivered
100041,3879,Burger King,Kolkata,17-02-2024,748,UPI,61,Delivered
100042,2528,Haldiram,Bangalore,04-10-2024,1251,Cash,19,Delivered
100043,1646,Barbeque Nation,Hyderabad,09-01-2023,1077,Cash,16,Delivered
100044,3068,Dominos,Pune,03-04-2024,1240,UPI,36,Delivered
100045,3888,Starbucks,Chennai,15-12-2024,1008,UPI,20,Delivered
100046,3214,Burger King,Mumbai,13-02-2024,363,UPI,58,Delivered
100047,2297,Burger King,Mumbai,14-04-2024,598,Cash,16,Delivered
100048,3435,KFC,Chennai,20-05-2024,1114,UPI,43,Delivered
100049,1600,Pizza Hut,Delhi,16-11-2024,1288,Card,50,Delivered
100050,3363,McDonalds,Hyderabad,14-03-2023,936,Cash,21,Delivered
100051,3061,Wow Momo,Delhi,25-03-2023,648,UPI,30,Delivered
100052,1241,Starbucks,Pune,28-02-2023,859,Card,47,Delivered
100053,3041,Biryani Blues,Mumbai,21-01-2023,529,UPI,47,Delivered
100054,3824,Biryani Blues,Bangalore,02-04-2024,1316,Card,28,Delivered
100055,3612,Subway,Chennai,06-06-2023,889,UPI,57,Delivered
100056,3945,Burger King,Pune,25-11-2023,781,UPI,26,Delivered
100057,2363,Subway,Kolkata,26-07-2024,1197,Cash,57,Delivered
100058,3139,Haldiram,Mumbai,29-07-2024,688,Card,20,Delivered
100059,2390,McDonalds,Hyderabad,10-11-2024,1094,UPI,69,Delivered
100060,2478,Faasos,Mumbai,22-07-2023,1248,UPI,26,Delivered
100061,3556,Wow Momo,Hyderabad,02-10-2024,902,UPI,67,Delivered
100062,1775,Box8,Hyderabad,16-04-2023,684,Card,45,Delivered
100063,1034,Faasos,Chennai,02-05-2023,822,UPI,26,Delivered
100064,3253,Pizza Hut,Hyderabad,14-11-2023,1214,Card,24,Delivered
100065,2955,Cafe Coffee Day,Delhi,01-07-2023,717,UPI,54,Delivered
100066,2585,Dominos,Pune,06-09-2024,564,UPI,41,Delivered
100067,2021,Starbucks,Bangalore,12-11-2023,598,Card,66,Delivered
100068,3613,Wow Momo,Mumbai,16-09-2024,759,UPI,65,Delivered
100069,2129,Faasos,Bangalore,10-02-2024,807,Cash,21,Delivered
100070,2500,Starbucks,Pune,11-03-2023,585,Card,60,Delivered
100071,1702,Wow Momo,Kolkata,09-06-2023,854,UPI,50,Delivered
100072,3449,Faasos,Pune,28-08-2023,388,Card,47,Delivered
100073,3777,Box8,Mumbai,06-06-2024,1215,UPI,41,Delivered
100074,2579,Cafe Coffee Day,Bangalore,18-05-2023,883,UPI,22,Delivered
100075,1161,Dominos,Bangalore,09-05-2024,949,UPI,19,Delivered
100076,1201,Barbeque Nation,Chennai,09-11-2024,159,Card,22,Delivered
100077,2981,Pizza Hut,Chennai,04-09-2023,896,UPI,54,Delivered
100078,1995,Box8,Pune,26-06-2024,1438,UPI,35,Delivered
100079,3317,Cafe Coffee Day,Pune,07-06-2024,288,UPI,38,Cancelled
100080,1815,KFC,Kolkata,31-08-2023,880,UPI,21,Delivered
100081,1455,Subway,Hyderabad,11-09-2024,345,UPI,33,Delivered
100082,2275,Starbucks,Mumbai,02-12-2023,1247,UPI,45,Delivered
100083,2016,Biryani Blues,Chennai,26-02-2024,1398,UPI,50,Cancelled
100084,3343,Burger King,Mumbai,13-07-2023,1275,UPI,41,Delivered
100085,3767,Wow Momo,Kolkata,04-11-2023,413,UPI,43,Cancelled
100086,1337,Haldiram,Chennai,06-10-2024,1094,Card,37,Delivered
100087,1878,Biryani Blues,Chennai,20-05-2024,1069,Card,34,Delivered
100088,2076,Faasos,Hyderabad,08-10-2023,310,UPI,20,Delivered
100089,1791,Box8,Mumbai,05-11-2024,1406,Cash,26,Delivered
100090,3264,Biryani Blues,Mumbai,14-03-2024,640,UPI,64,Delivered
100091,1763,Dominos,Mumbai,15-12-2024,919,UPI,26,Delivered
100092,3235,Subway,Hyderabad,30-08-2024,460,Card,64,Delivered
100093,1379,Box8,Chennai,27-04-2024,376,Card,17,Delivered
100094,1492,McDonalds,Kolkata,11-08-2023,422,Cash,56,Delivered
100095,2180,Dominos,Mumbai,27-04-2023,1087,Cash,53,Delivered
100096,3062,Cafe Coffee Day,Bangalore,11-07-2023,466,UPI,49,Delivered
100097,1064,McDonalds,Hyderabad,09-09-2024,1259,Cash,33,Delivered
100098,3568,Faasos,Delhi,30-05-2024,440,Cash,59,Delivered
100099,2367,Pizza Hut,Kolkata,13-06-2024,878,UPI,18,Delivered
100100,2152,Faasos,Bangalore,03-11-2023,524,Cash,45,Delivered
100101,3027,Wow Momo,Mumbai,15-06-2024,716,UPI,56,Delivered
100102,3695,Haldiram,Delhi,02-05-2023,1017,Card,52,Delivered
100103,2495,Starbucks,Kolkata,10-10-2024,904,UPI,47,Delivered
100104,2162,Biryani Blues,Hyderabad,14-08-2024,401,UPI,20,Delivered
100105,2522,Burger King,Delhi,03-06-2023,456,Card,22,Delivered
100106,3640,McDonalds,Chennai,20-06-2024,824,UPI,42,Cancelled
100107,1391,Subway,Pune,27-03-2024,1017,Card,29,Delivered
100108,2698,Barbeque Nation,Delhi,18-06-2023,413,UPI,45,Delivered
100109,1418,Starbucks,Pune,28-02-2023,217,UPI,22,Delivered
100110,3336,Pizza Hut,Bangalore,28-10-2023,1280,UPI,68,Delivered
100111,1378,Box8,Kolkata,06-07-2024,1372,Card,20,Delivered
100112,2796,Barbeque Nation,Bangalore,03-07-2024,1365,Card,43,Delivered
100113,3278,Box8,Bangalore,27-04-2023,663,Card,65,Delivered
100114,3088,Pizza Hut,Mumbai,07-05-2023,918,Card,60,Delivered
100115,3182,KFC,Hyderabad,09-02-2024,591,UPI,48,Delivered
100116,1200,Starbucks,Delhi,03-02-2024,150,UPI,21,Delivered
100117,2863,Subway,Kolkata,29-05-2024,507,UPI,54,Delivered
100118,1779,Cafe Coffee Day,Chennai,12-05-2024,1288,Cash,24,Delivered
100119,3977,Biryani Blues,Hyderabad,11-06-2024,1052,Card,27,Delivered
100120,1502,Barbeque Nation,Hyderabad,02-02-2024,1370,UPI,36,Delivered
100121,3454,Haldiram,Kolkata,22-09-2023,423,UPI,35,Delivered
100122,2751,Wow Momo,Hyderabad,20-09-2023,1005,UPI,66,Delivered
100123,1804,Dominos,Mumbai,02-02-2024,1167,Card,15,Delivered
100124,3146,Burger King,Hyderabad,07-10-2024,1333,UPI,55,Delivered
100125,3731,Cafe Coffee Day,Mumbai,25-12-2024,322,Card,56,Delivered
100126,2895,Wow Momo,Delhi,10-06-2024,734,UPI,66,Delivered
100127,3773,Biryani Blues,Delhi,11-03-2024,1078,UPI,16,Delivered
100128,2570,Wow Momo,Bangalore,26-12-2023,630,Cash,66,Delivered
100129,1960,Box8,Mumbai,09-05-2023,604,UPI,43,Delivered
100130,3660,Pizza Hut,Chennai,25-09-2024,345,Cash,25,Delivered
100131,2485,Haldiram,Delhi,29-08-2023,945,UPI,51,Delivered
100132,3690,Biryani Blues,Hyderabad,18-09-2024,748,UPI,64,Delivered
100133,2028,Starbucks,Kolkata,09-12-2024,1482,UPI,21,Delivered
100134,1502,Pizza Hut,Kolkata,10-08-2023,705,Card,49,Delivered
